tanggal_kejadian,lokasi_kejadian,wilayah,sarana_rusak,kategori_sarana_rusak,penyebab_bencana,jumlah_sarana_menangani,tim_yang_menangani,lokasi_pengungsi,kerugian
2017-01-05,Jl. Kwitang Raya RT. 04 RW. 01 Kel. Senen Kec. Senen,Jakarta Pusat,1,Rumah Tinggal,Korsleting Listrik,17,Dinas Pemadam Kebakaran ,Tidak ada,100000000
2017-01-12,"Jl. Setiakawan 19, RT.02/07 Kel. Duri Pulo Kec. Gambir",Jakarta Pusat,1,Rumah Tinggal,Korsleting Listrik,5,Dinas Pemadam Kebakaran ,Tidak ada,2000000
2017-01-17,"Jl. Bungur Raya, Pasar Inpres Senen Blok VI D Kel. Senen Kec. Senen",Jakarta Pusat,14,Kios,Korsleting Listrik,17,Dinas Pemadam Kebakaran ,Tidak ada,600000000
2017-01-19,Jl. Letjen Suprapto Pasar Senen Blok 1 dan 2 Kel. Senen Kec. Senen,Jakarta Pusat,1691,Kios,Korsleting Listrik,70,Dinas Pemadam Kebakaran ,Tidak ada,0
2017-01-19,Jl. Kramat Bunder RT. 16 RW. 01 Kel. Kramat Kec. Senen,Jakarta Pusat,1,Rumah Tinggal,Korsleting Listrik,1,Dinas Pemadam Kebakaran ,Tidak ada,500000
2017-01-19,Jl. Letjen Soeprapto Kel. Senen Kec. Senen,Jakarta Pusat,1,Ruko,Korsleting Listrik,2,Dinas Pemadam Kebakaran ,Tidak ada,500000
2017-01-20,Jl. Tabing Komplek Angkasa Pura Blok L RT. 04 RW. 07 Kel. Gunung Sahari Utara Kec. Sawah Besar,Jakarta Pusat,1,Rumah Tinggal,Korsleting Listrik,5,Dinas Pemadam Kebakaran ,Tidak ada,20000000
2017-01-22,"Jl. K.H Mas Mansyur, Kav 1 (Apartemen Casa Domaine) Kel. Karet Tengsin Kec. Tanah Abang",Jakarta Pusat,1,Ruangan,Korsleting Listrik,2,Dinas Pemadam Kebakaran ,Tidak ada,5000000
2017-01-22,Jl. Kartini XIII Rt. 11 RW. 02 Kel. Kartini Kec. Sawah Besar,Jakarta Pusat,1,Kamar Kos,Kompor Gas,1,Dinas Pemadam Kebakaran ,Tidak ada,50000000
2017-01-23,Jl. Garuda No. 33 Kel. Gunung Sahari Selatan Kec. Kemayoran,Jakarta Pusat,1,Ruangan,Korsleting Listrik,7,Dinas Pemadam Kebakaran ,Tidak ada,50000000
2017-01-25,Jl. H. Munasir 10 RT/RW 012/02 Kel. Cempaka Putih Barat Kec. Cempaka Putih,Jakarta Pusat,3,Rumah Tinggal,Korsleting Listrik,18,Dinas Pemadam Kebakaran ,Tidak ada,900000000
2017-01-25,Jl. H. Munasir 10 RT/RW 012/02 Kel. Cempaka Putih Barat Kec. Cempaka Putih,Jakarta Pusat,4,Rumah Petak,Korsleting Listrik,0,Dinas Pemadam Kebakaran ,Tidak ada,0
2017-01-26,Jl. Cempaka Putih IV No. 8 RT. 03 RW. 02 Kel. Cempaka Putih Barat Kec. Cempaka Putih,Jakarta Pusat,1,Rumah Tinggal,Korsleting Listrik,4,Dinas Pemadam Kebakaran ,Tidak ada,500000
2017-01-01,Jl. Cikijang RT. 08 RW. 11 Kel. Koja Kec. Koja,Jakarta Utara,1,Rumah Tinggal,Korsleting Listrik,2,Dinas Pemadam Kebakaran ,Tidak ada,100000
2017-01-01,Jl. Kramat Jaya Gg. 2D1 No. 31 RT. 05 RW. 01 Kel. Lagoa Kec. Koja,Jakarta Utara,4,Rumah Tinggal,Korsleting Listrik,8,Dinas Pemadam Kebakaran ,Tidak ada,300000000
2017-01-03,Jl. Pademangan Timur 3 Gg. 6 No. 9 RT. 06 RW. 09 Kel. Pademangan Timur Kec. Pademangan,Jakarta Utara,2,Rumah Tinggal,Korsleting Listrik,11,Dinas Pemadam Kebakaran ,Tidak ada,2000000000
2017-01-06,Jl. Kali Baru Barat IV RT. 02 RW. 07 Kel. Kalibaru Kec. Cilincing,Jakarta Utara,1,Rumah Tinggal,Korsleting Listrik,7,Dinas Pemadam Kebakaran ,Tidak ada,150000000
2017-01-12,Jl. Y2 No. 22 RT. 05 RW. 10 Kel. Semper Barat Kec. Cilincing,Jakarta Utara,1,Rumah Tinggal,Korsleting Listrik,1,Dinas Pemadam Kebakaran ,Tidak ada,0
2017-01-19,Jl. Kelapa Hybrida Timur RT. 04 RW. 03 Kel. Pegangsaan Dua Kec. Kelapa Gading,Jakarta Utara,1,Gudang,Korsleting Listrik,2,Dinas Pemadam Kebakaran ,Tidak ada,10000000
2017-01-24,Jl. Pademangan Barat II RT 009/02 Kel. Pademangan Barat Kec. Pademangan,Jakarta Utara,1,Rumah Usaha,Kompor Gas,1,Dinas Pemadam Kebakaran ,Tidak ada,500000
2017-01-28,Jl. Raya Cakung Cilincing No. 3 RT. 01 RW. 03 Kel. Cilincing Kec. Cilincing,Jakarta Utara,1,Gudang Kayu,Dalam Pendataan,10,Dinas Pemadam Kebakaran ,Tidak ada,0
2017-01-29,Jl. Swasembada Barat /A RT. 01 RW. 09 Kel. Kebon Bawang Kec. Tanjung Priok,Jakarta Utara,1,Rumah Tinggal,Korsleting Listrik,3,Dinas Pemadam Kebakaran ,Tidak ada,5000000
2017-01-01,Jl. Berdikari II No. 12 RT. 05 RW. 01 Kel. Kapuk Kec. Cengkareng,Jakarta Barat,1,Rumah Kosong,Korsleting listrik,4,Dinas Pemadam Kebakaran ,Tidak ada,0
2017-01-02,Jl. Gajah Mada No. 126 RT. 13 RW. 06 Kel. Keagungan Kec. Taman Sari,Jakarta Barat,1,Hotel Paragon,Korsleting listrik,32,Dinas Pemadam Kebakaran ,Tidak ada,0
2017-01-04,Jl. Ring Road Pondok Ramdu Rt. 02 RW. 02 Kel. Duri Kosambi Kec. Cengkareng,Jakarta Barat,16,Lapak Kayu,Korsleting listrik,22,Dinas Pemadam Kebakaran ,Tidak ada,2400000000
2017-01-05,Jl. Hikmah 2 RT 010/03 Kel. Rawa Buaya Kec. Cengkareng,Jakarta Barat,1,Rumah Tinggal,Korsleting listrik,15,Dinas Pemadam Kebakaran ,Tidak ada,450000000
2017-01-05,Jl. Jembatan Senti No. 24 RT. 02 RW. 04 Kel. Pinangsia Kec. Taman Sari,Jakarta Barat,130,Rumah Tinggal,Korsleting listrik,32,Dinas Pemadam Kebakaran ,Gereja Sion,3750000000
2017-01-13,Jl. Duri (TSS Raya) RT. 03/04 Kel. Duri Utara Kec. Tambora,Jakarta Barat,1,Toko Material,Korsleting listrik,23,Dinas Pemadam Kebakaran ,Tidak ada,1000000000
2017-01-14,Jl. H. Saili RT 008/05 Inspeksi Kali Grogol Gg H. Saili Kel. Kemanggisan Kec. Palmerah ,Jakarta Barat,8,Rumah Tinggal,Korsleting listrik,20,Dinas Pemadam Kebakaran , Aula RT. 05 RW. 05 Kel. Kemanggisan ,700000000
2017-01-16,Jl. Duri Selatan VIII No. 30 RT. 08 RW. 06 Kel. Duri Selatan Kec. Tambora,Jakarta Barat,1,Rumah Tinggal,Korsleting Listrik,13,Dinas Pemadam Kebakaran ,Tidak ada,10000000
2017-01-16,Jl. Bandengan Utara Raya No. 31 B RT. 07 RW. 11 Kel. Pekojan Kec. Tambora,Jakarta Barat,1,Gudang Peralatan ,Korsleting Listrik,3,Dinas Pemadam Kebakaran ,Tidak ada,3000000
2017-01-18,Jl. Asia Afrika Baru Blok F RT. 04 RW. 05 Kel. Duri Kepa Kec. Kebon Jeruk,Jakarta Barat,1,Lapak,Korsleting Listrik,19,Dinas Pemadam Kebakaran ,Tidak ada,1000000000
2017-01-18,Jl. Asia Afrika Baru Blok F RT. 04 RW. 05 Kel. Duri Kepa Kec. Kebon Jeruk,Jakarta Barat,4,Rumah Tinggal,Korsleting Listrik,0,Dinas Pemadam Kebakaran ,Tidak ada,0
2017-01-18,Jl. Asia Afrika Baru Blok F RT. 04 RW. 05 Kel. Duri Kepa Kec. Kebon Jeruk,Jakarta Barat,4,Motor,Korsleting Listrik,0,Dinas Pemadam Kebakaran ,Tidak ada,0
2017-01-21,Jl. Daan Mogot RT. 01/RW. 08 Dekat Stasiun Taman Kota Kel. Kedaung Kali Angke Kec. Cengkareng,Jakarta Barat,30,Rumah Tinggal,Korsleting Listrik,21,Dinas Pemadam Kebakaran , Tenda dan Masjid ,310000000
2017-01-24,Jl. Sawah Lio Gg. 5 RT 008/08 Kel. Jembatan Lima Kec. Tambora,Jakarta Barat,8,Rumah Tinggal,Korsleting Listrik,23,Dinas Pemadam Kebakaran , Musholla Al-Qosin RT. 06 RW. 08 ,0
2017-01-24,Jl. Sawah Lio Gg. 5 RT 008/08 Kel. Jembatan Lima Kec. Tambora,Jakarta Barat,1,Toko,Korsleting Listrik,0,Dinas Pemadam Kebakaran , Musholla Al-Qosin RT. 06 RW. 08 ,0
2017-01-25,"Jl. Gunung Galunggung, RT.01, RW.15 Kel. Cengkareng Timur Kec. Cengkareng",Jakarta Barat,1,Toko Material,Korsleting Listrik,4,Dinas Pemadam Kebakaran ,Tidak ada,30000000
2017-01-26,Jl. Komplek Citra II Blok B RT. 05 RW. 12 Kel. Pegadungan Kec. Kalideres,Jakarta Barat,1,Rumah Usaha,Kompor Gas,1,Dinas Pemadam Kebakaran ,Tidak ada,700000
2017-01-26,Perumahan Taman Permata Buana Blok A8/19 RT. 15 RW. 09 Kel. Kembangan Utara Kec. Kembangan,Jakarta Barat,1,Rumah Tinggal,Kompor Gas,3,Dinas Pemadam Kebakaran ,Tidak ada,2000000
2017-01-27,Komplek Marsela Blok 12 A RT. 08 RW. 04 Kel. Wijaya Kusuma Kec. Grogol Petamburan,Jakarta Barat,1,Rumah Tinggal,Korsleting Listrik,13,Dinas Pemadam Kebakaran ,Tidak ada,0
2017-01-04,Jl. Pandan RT. 13 RW. 09 Kel. Kramat Pela Kec. Kebayoran Baru,Jakarta Selatan,1,Rumah Tinggal,Korsleting Listrik,2,Dinas Pemadam Kebakaran ,Tidak ada,600000000
2017-01-06,Jl. Siaga Raya Blok F Komplek Polri Kel. Pejaten Barat Kec. Pasar Minggu,Jakarta Selatan,1,Rumah Tinggal,Korsleting Listrik,4,Dinas Pemadam Kebakaran ,Tidak ada,25000000
2017-01-07,Jl. DR. Saharjo No. 125 RT 04 RW. 04 Kel. Manggarai Selatan Kec. Tebet,Jakarta Selatan,1,Bengkel Mobil,Korsleting Listrik,4,Dinas Pemadam Kebakaran ,Tidak ada,50000000
2017-01-08,RT. 15 RW. 04 Kel. Manggarai Kec. Tebet,Jakarta Selatan,2,Rumah Usaha,Tawuran Antar Warga,0,Ditangani Warga,Tidak ada,0
2017-01-09,Jl. Panglima Polim IV No. 47A RT 06 RW 04 Kel. Melawai Kec. Kebayoran baru,Jakarta Selatan,1,Rumah Tinggal,Korsleting Listrik,1,Dinas Pemadam Kebakaran ,Tidak ada,4000000
2017-01-10,"Jl. Ulujami Raya, RT. 01 RW. 01 Kel. Ulujami Kec. Pesanggrahan",Jakarta Selatan,2,Rumah Tinggal,Korsleting Listrik,10,Dinas Pemadam Kebakaran ,Tidak ada,350000000
2017-01-10,"Jl. Ulujami Raya, RT. 01 RW. 01 Kel. Ulujami Kec. Pesanggrahan",Jakarta Selatan,1,Mushola,Korsleting Listrik,0,Dinas Pemadam Kebakaran ,Tidak ada,0
2017-01-11,Jl. Pejaten Indah Mas Blok X RT. 11 RW. 12 Kel. Pasar Minggu Kec. Pasar Minggu,Jakarta Selatan,1,Rumah Tinggal,Korsleting Listrik,6,Dinas Pemadam Kebakaran ,Tidak ada,5000000
2017-01-12,Jl. Pejaten Barat II RT. 05 RW. 08 Kel. Pejaten Barat Kec. Pasar Minggu,Jakarta Selatan,1,Rumah Tinggal,Korsleting Listrik,5,Dinas Pemadam Kebakaran ,Tidak ada,200000000
2017-01-14,Jl. Pejaten Raya No. 5 E Kel. Pejaten Barat Kec. Pasar Minggu,Jakarta Selatan,1,Gedung,Korsleting Listrik,5,Dinas Pemadam Kebakaran ,Tidak ada,350000000
2017-01-15,Jl. Kyai Maja Mayestik Kel. Gunung Kec. Kebayoran Baru,Jakarta Selatan,1,Ruko,Korsleting Listrik,14,Dinas Pemadam Kebakaran ,Tidak ada,450000000
2017-01-15,Jl. Kyai Maja No.77B RT 013 RW 003 Kel. Gunung Kec. Kebayoran Baru,Jakarta Selatan,1,Ruko,Korsleting Listrik,1,Dinas Pemadam Kebakaran ,Tidak ada,0
2017-01-16,"Jl. Cilandak KKO, Gg. Pahala No. 19 RT. 12 RW. 05 Kel. Ragunan Kec. Pasar Minggu",Jakarta Selatan,1,Rumah Tinggal,Korsleting Listrik,6,Dinas Pemadam Kebakaran ,Tidak ada,50000000
2017-01-16,Jl. H. Miran RT. 15 RW. 06 Kel. Cilandak Barat Kec. Cilandak,Jakarta Selatan,4,Rumah Kontrakan,Korsleting Listrik,13,Dinas Pemadam Kebakaran ,Tidak ada,540000000
2017-01-16,Jl. H. Miran RT. 15 RW. 06 Kel. Cilandak Barat Kec. Cilandak,Jakarta Selatan,1,Rumah Tinggal,Korsleting Listrik,0,Dinas Pemadam Kebakaran ,Tidak ada,0
2017-01-16,Jl. Kayu Putih No. 1 RT. 07 RW. 01 Kel. Pondok Labu Kec. Cilandak,Jakarta Selatan,1,Rumah Tinggal,Korsleting Listrik,4,Dinas Pemadam Kebakaran ,Tidak ada,8000000
2017-01-20,Jl. Srengseng Sawah No. 54 RT. 01 RW. 09 Kel. Srengseng Sawah Kec. Jagakarsa,Jakarta Selatan,1,Rumah Tinggal,Korsleting Listrik,5,Dinas Pemadam Kebakaran ,Tidak ada,300000000
2017-01-22,Jl. Bunga Matahari RT. 13 RW. 15 Kel. Cipete Selatan Kec. Cilandak,Jakarta Selatan,1,Rumah Tinggal,Korsleting Listrik,1,Dinas Pemadam Kebakaran ,Tidak ada,10000000
2017-01-22,Jl. Kapten Tendean Gg. Jati RT 08 RW. 01 Kel. Mampang  Prapatan Kec. Mampang,Jakarta Selatan,1,Rumah Tinggal,Korsleting Listrik,5,Dinas Pemadam Kebakaran ,Tidak ada,20000000
2017-01-26,Jl. Rawajati RT. 04 RW. 04 Kel. Kalibata Kec. Pancoran,Jakarta Selatan,1,Rumah Tinggal,Kompor Gas,1,Dinas Pemadam Kebakaran ,Tidak ada,500000
2017-01-27,Jl. Genteng Ijo No. 3 B RT. 01 RW. 07 Kel. Karet Kuningan Kec. Setiabudi,Jakarta Selatan,2,Rumah Kost,Korsleting Listrik,22,Dinas Pemadam Kebakaran ,Tidak ada,570000000
2017-01-29,Jl. Bintaro Permai Raya RT. 06 RW. 02 Kel. Pesanggrahan Kec. Pesanggrahan,Jakarta Selatan,1,Lapak,Korsleting Listrik,1,Dinas Pemadam Kebakaran ,Tidak ada,5000000
2017-01-29,Jl. Pengadegan RT. 06 RW. 03 Kel. Pengadegan Kec. Pancoran ,Jakarta Selatan,1,Rumah Tinggal,Korsleting Listrik,4,Dinas Pemadam Kebakaran ,Tidak ada,25000000
2017-01-05,Jl. Jl.Batu Ampar III RT. 01 RW. 04 Kel. Batu Ampar Kec. Kramat Jati,Jakarta Timur,1,Kios,Korsleting Listrik,2,Dinas Pemadam Kebakaran ,Tidak ada,30000000
2017-01-07,Jl. Candra RT. 06 RW. 09 Komp. Angkasa Kel. Halim Perdanakusuma Kec. Makasar,Jakarta Timur,2,Rumah Tinggal,Korsleting Listrik,11,Dinas Pemadam Kebakaran ,Tidak ada,600000000
2017-01-08,Jl. Bojong indah RT/RW 004/06 Kel. Pondok Kelapa Kec. Duren Sawit,Jakarta Timur,2,Rumah Tinggal,Korsleting Listrik,17,Dinas Pemadam Kebakaran ,Disekitar Lokasi,3000000000
2017-01-08,Jl. Bojong indah RT/RW 004/06 Kel. Pondok Kelapa Kec. Duren Sawit,Jakarta Timur,14,Rumah Semi Permanen,Korsleting Listrik,0,Dinas Pemadam Kebakaran ,Disekitar Lokasi,0
2017-01-14,Jl. H. Hanafi RT 016 RW 03 Kel. Pondok Bambu Kec. Duren Sawit,Jakarta Timur,1,Rumah Tinggal,Korsleting Listrik,9,Dinas Pemadam Kebakaran ,Tidak ada,500000000
2017-01-16,"Jl. Pemuda Raya KM. 18, PT Antam Pulogadung Kel.  Jatinegara Kaum Kec. Pulogadung",Jakarta Timur,1,Pabrik,Dalam Penyelidikan,12,Dinas Pemadam Kebakaran ,Tidak ada,0
2017-01-20,Jl. Nusa Indah Raya RT. 13 RW. 03 Kel. Malaka Jaya Kec. Duren Sawit,Jakarta Timur,1,Rumah Usaha,Kompor Gas,2,Dinas Pemadam Kebakaran ,Tidak ada,1000000
2017-01-23,Jl. Alvan Dukuh V RT. 02 RW. 05 Kel. Dukuh Kec. Kramat Jati,Jakarta Timur,1,Ruangan Sekolah,Korsleting Listrik,2,Dinas Pemadam Kebakaran ,Tidak ada,8000000
2017-01-24,"Jl. Utan Kayu Selatan No.30,  RT.001, RW.009 Kel. Utan Kayu Selatan Kec. Matraman",Jakarta Timur,1,Rumah Tinggal,Korsleting Listrik,2,Dinas Pemadam Kebakaran ,Tidak ada,50000000
